network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-1,0,21795,21796,29870,,,29889,48921,48952,55806
mainnet,default,headless-kittypunch-swap-2,0,2775,,,2782,8645,8671,27518,27541,34467
