network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,942,954,1039,,,,,,,,,955,7648,7681,7727,,,,
testnet,default,transfer-erc20-test,,,0,567,604,692,,,,,,,,,607,7343,7387,7433,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,544,556,644,,,,,,,556,5985,,,6030,6078,,,558,8123
testnet,default,transfer-cadence-test,,,0,457,492,601,,,,,,,492,4881,,,4887,8131,,,494,9080
mainnet,default,transfer-test,,,0,958,957,1029,,,,,,,,,957,7663,7699,7771,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,1,856,897,1028,,,,,,,898,6385,,,6427,6618,,,899,12198
testnet,ALCHEMY_URL,transfer-test,,,0,1009,1054,1173,,,,,,,,,1055,8217,8265,8369,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,924,958,1070,,,,,,,,,961,8101,8107,8217,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1321,1356,1467,,,,,,,,,1357,8823,8857,8965,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,850,857,919,,,,,,,,,858,7653,7689,7750,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,702,703,768,,,,,,,,,706,7485,7496,7558,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,934,958,1030,,,,,,,,,959,7662,7684,7755,,,,
mainnet,default,headless-kittypunch-swap-1,0,21636,,,,,21644,30179,,,30208,48482,,,,,,,48507,55359,,
mainnet,default,headless-kittypunch-swap-2,0,1960,,,,,,,1972,8571,8577,27729,,,,,,,27771,34806,,
