network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,515,556,587,,,,,,,557,7006,7039,7069,,,,
testnet,default,transfer-erc20-test,,,0,538,551,587,,,,,,,554,7035,7041,7072,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,320,358,417,,,,,359,6637,,,6637,6671,,,361,9770
testnet,default,transfer-cadence-test,,,0,317,356,414,,,,,357,5598,,,5630,7298,,,358,7671
mainnet,default,transfer-test,,,0,355,402,408,,,,,,,402,6645,6685,6691,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,328,347,395,,,,,348,6815,,,6825,6884,,,350,9954
testnet,ALCHEMY_URL,transfer-test,,,0,451,458,490,,,,,,,459,6905,6910,6941,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,577,604,638,,,,,,,607,7002,7051,7077,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,3382,3418,3441,,,,,,,3419,9824,9873,9903,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,315,351,356,,,,,,,352,6585,6627,6632,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,264,302,310,,,,,,,305,6538,6581,6587,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,459,503,508,,,,,,,503,6743,6763,6769,,,,
mainnet,default,headless-kittypunch-swap-1,0,23433,,,,,23479,31759,31775,50150,,,,,,,50178,56538,,
