network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,696,710,778,,,711,7569,7585,7650,,
testnet,default,transfer-erc20-test,0,2734,2771,2842,,,2774,9611,9651,9717,,
testnet,default,transfer-cadence-soft-finality-test,0,551,600,701,601,4019,,,4022,4119,603,8429
testnet,default,transfer-cadence-test,0,540,589,670,590,3926,,,3961,7561,591,8332
mainnet,default,transfer-test,0,983,1011,1084,,,1012,4650,4699,4770,,
mainnet,default,transfer-cadence-soft-finality-test,0,679,727,841,727,6226,,,6266,6382,728,10652
testnet,ALCHEMY_URL,transfer-test,0,1185,1214,1450,,,1214,5112,5153,5256,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1499,1515,1629,,,1518,5756,5763,5999,,
mainnet,ALCHEMY_URL,transfer-test,0,974,1012,1106,,,1013,8016,8042,8133,,
testnet,QUICKNODE_URL,transfer-test,0,1623,1662,1731,,,1663,28287,28319,28387,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,546,556,626,,,559,13869,13876,13943,,
mainnet,QUICKNODE_URL,transfer-test,0,622,659,732,,,660,7570,7584,7659,,
