network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,1,439,459,486,,,,,,,,,460,3686,3726,3752,,,,
testnet,default,transfer-erc20-test,,,0,346,359,389,,,,,,,,,362,3588,3628,3656,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,550,591,651,,,,,,,592,3828,,,3858,3917,,,593,8082
testnet,default,transfer-cadence-test,,,0,351,390,430,,,,,,,391,4595,,,4625,6738,,,393,6718
mainnet,default,transfer-test,,,0,577,614,651,,,,,,,,,614,7167,7195,7229,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,619,665,747,,,,,,,666,7723,,,7758,7840,,,668,8811
testnet,ALCHEMY_URL,transfer-test,,,0,1327,1327,1534,,,,,,,,,1328,5699,5718,5829,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1240,1279,1391,,,,,,,,,1282,5957,5976,6082,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,772,770,899,,,,,,,,,771,7908,7915,8010,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,408,415,445,,,,,,,,,416,3669,3691,3721,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,392,412,447,,,,,,,,,414,3664,3680,3711,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,644,663,703,,,,,,,,,664,7219,7244,7277,,,,
mainnet,default,headless-kittypunch-swap-1,0,20831,,,,,20869,23708,,,23751,42632,,,,,,,42666,49238,,
mainnet,default,headless-kittypunch-swap-3,0,18149,,,,,18150,89797,,,89826,105558,,,,,,,105569,113437,,
mainnet,default,headless-kittypunch-swap-4,0,1778,,,,,,,1793,5883,5891,21754,,,,,,,21765,29163,,
