network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,444,456,479,,,,,,,,,456,6882,6923,6946,,,,
testnet,default,transfer-erc20-test,,,0,346,352,379,,,,,,,,,355,6739,6763,6783,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,456,498,556,,,,,,,499,4792,,,4825,4880,,,500,7970
testnet,default,transfer-cadence-test,,,0,297,338,375,,,,,,,339,4503,,,4510,8375,,,341,8730
mainnet,default,transfer-test,,,0,1037,1064,1088,,,,,,,,,1064,7489,7510,7534,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,582,596,661,,,,,,,596,5532,,,5575,5642,,,598,11899
testnet,ALCHEMY_URL,transfer-test,,,0,692,710,754,,,,,,,,,711,7294,7317,7349,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,565,611,650,,,,,,,,,613,7165,7185,7222,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,458,506,548,,,,,,,,,507,7015,7024,7058,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,350,355,374,,,,,,,,,356,6730,6765,6783,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,317,359,382,,,,,,,,,362,6759,6778,6799,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,584,608,632,,,,,,,,,608,7033,7075,7099,,,,
mainnet,default,headless-kittypunch-swap-3,0,17944,,,,,17963,61503,,,61518,77221,,,,,,,77264,85597,,
mainnet,default,headless-kittypunch-swap-4,0,1757,,,,,,,1766,5294,5320,21178,,,,,,,21223,28585,,
