network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,740,760,830,,,761,4390,4393,4463,,
testnet,default,transfer-erc20-test,0,657,656,731,,,659,4316,4342,4415,,
testnet,default,transfer-cadence-soft-finality-test,0,634,661,761,662,3998,,,4036,4147,663,8450
testnet,default,transfer-cadence-test,0,528,572,657,573,3880,,,3901,7680,574,8314
mainnet,default,transfer-test,0,679,708,785,,,709,7753,7779,7855,,
testnet,ALCHEMY_URL,transfer-test,0,932,963,1079,,,964,4874,4903,4997,,
testnet,ALCHEMY_URL,transfer-erc20-test,1,734,758,896,,,761,4587,4599,4722,,
mainnet,ALCHEMY_URL,transfer-test,0,660,658,751,,,659,4587,4604,4846,,
testnet,QUICKNODE_URL,transfer-test,0,633,659,729,,,660,4304,4346,4416,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,686,710,789,,,713,4401,4443,4519,,
mainnet,QUICKNODE_URL,transfer-test,0,667,711,788,,,712,4394,4440,4601,,
