network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1258,1305,1366,,,,,,,1306,8091,8092,8152,,,,
testnet,default,transfer-erc20-test,,,0,844,856,920,,,,,,,859,7739,7746,7806,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,603,643,757,,,,,644,8224,,,8233,8297,,,646,10355
testnet,default,transfer-cadence-test,,,0,409,426,537,,,,,427,6990,,,7018,9327,,,428,10181
mainnet,default,transfer-test,,,0,837,855,926,,,,,,,856,7557,7601,7672,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,794,796,960,,,,,796,11316,,,11337,11500,,,798,13736
testnet,ALCHEMY_URL,transfer-test,,,0,1077,1106,1207,,,,,,,1107,8173,8191,8290,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,976,1003,1100,,,,,,,1006,8007,8009,8094,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,891,910,1011,,,,,,,911,8105,8112,8204,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,856,856,927,,,,,,,856,7749,7769,7840,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,954,957,1032,,,,,,,960,7830,7862,7935,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,754,753,824,,,,,,,754,7455,7486,7558,,,,
mainnet,default,headless-kittypunch-swap-1,0,21374,,,,,21395,30225,30243,48583,,,,,,,48631,55839,,
