network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,698,704,736,,,,,,,705,7191,7199,7231,,,,
testnet,default,transfer-erc20-test,,,0,502,504,539,,,,,,,507,6997,7011,7044,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,481,520,579,,,,,521,5717,,,5741,5777,,,522,8829
testnet,default,transfer-cadence-test,,,0,441,480,562,,,,,481,6708,,,6718,9669,,,483,9815
mainnet,default,transfer-test,,,0,525,553,559,,,,,,,554,6802,6805,6811,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,255,257,306,,,,,258,8257,,,8257,8324,,,260,12414
testnet,ALCHEMY_URL,transfer-test,,,0,633,658,687,,,,,,,659,7155,7160,7192,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,394,402,430,,,,,,,404,6852,6853,6879,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,427,457,497,,,,,,,458,6957,6963,6999,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,332,354,360,,,,,,,355,6599,6613,6618,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,214,256,266,,,,,,,260,6499,6520,6526,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,629,655,661,,,,,,,656,6904,6906,6913,,,,
mainnet,default,headless-kittypunch-swap-1,0,21352,,,,,21401,29856,29872,49971,,,,,,,50012,56607,,
