network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-1,0,24882,24883,33167,,,33202,56119,56127,57983
mainnet,default,headless-kittypunch-swap-2,0,2706,,,2755,8536,8557,31581,31590,34101
mainnet,default,headless-kittypunch-swap-3,0,17716,17738,25865,,,25891,41647,41670,49060
mainnet,default,headless-kittypunch-swap-4,0,1565,,,1607,7213,7232,22921,22968,30294
