network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,653,662,731,,,663,4282,4300,4368,,
testnet,default,transfer-erc20-test,0,803,810,891,,,813,4450,4494,4565,,
testnet,default,transfer-cadence-soft-finality-test,0,592,634,740,635,3989,,,4012,4112,636,7307
testnet,default,transfer-cadence-test,0,580,599,686,599,3993,,,4030,7025,601,7314
mainnet,default,transfer-test,0,1020,1060,1134,,,1061,8141,8183,8255,,
testnet,ALCHEMY_URL,transfer-test,0,1430,1465,1570,,,1466,4439,4446,4687,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1246,1263,1500,,,1265,5655,5703,5796,,
mainnet,ALCHEMY_URL,transfer-test,0,1178,1211,1432,,,1211,8346,8370,8463,,
testnet,QUICKNODE_URL,transfer-test,0,637,655,727,,,656,4303,4342,4414,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,647,658,733,,,660,4294,4297,4369,,
mainnet,QUICKNODE_URL,transfer-test,0,738,758,831,,,758,7925,7933,8005,,
