network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,816,858,914,,,,,,,859,7317,7321,7352,,,,
testnet,default,transfer-erc20-test,,,0,709,756,790,,,,,,,758,7212,7256,7288,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,266,279,314,,,,,279,6547,,,6571,6606,,,281,9653
testnet,default,transfer-cadence-test,,,0,425,436,473,,,,,437,4647,,,4664,7171,,,439,7775
mainnet,default,transfer-test,,,0,931,954,960,,,,,,,955,13603,13633,13639,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,449,484,531,,,,,485,7164,,,7171,7219,,,486,11362
testnet,ALCHEMY_URL,transfer-test,,,0,642,653,686,,,,,,,654,7160,7188,7231,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,780,803,844,,,,,,,806,7329,7333,7372,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,450,453,493,,,,,,,454,6944,6985,7023,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,343,354,359,,,,,,,355,6592,6622,6627,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,353,401,410,,,,,,,404,6645,6690,6697,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,614,655,662,,,,,,,656,6897,6941,6946,,,,
mainnet,default,headless-kittypunch-swap-1,0,20697,,,,,20740,29223,29247,47723,,,,,,,47726,51067,,
