network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,899,918,983,,,918,7813,7856,7920,,
testnet,default,transfer-erc20-test,0,641,662,733,,,665,7515,7554,7620,,
testnet,default,transfer-cadence-soft-finality-test,0,698,739,847,738,5142,,,5177,5277,740,8445
testnet,default,transfer-cadence-test,0,692,691,771,692,5201,,,5232,8665,693,9603
mainnet,default,transfer-test,0,978,1020,1092,,,1020,7957,7961,8033,,
mainnet,default,transfer-cadence-soft-finality-test,0,752,768,909,768,5971,,,5974,6087,770,9281
testnet,ALCHEMY_URL,transfer-test,0,1429,1428,1537,,,1428,9237,9245,9349,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1244,1275,1511,,,1278,8827,8831,8927,,
mainnet,ALCHEMY_URL,transfer-test,0,1115,1122,1214,,,1122,5597,5612,5703,,
testnet,QUICKNODE_URL,transfer-test,0,774,816,880,,,816,7702,7705,7769,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,651,663,733,,,666,7514,7553,7620,,
mainnet,QUICKNODE_URL,transfer-test,0,999,1021,1094,,,1022,4685,4699,4771,,
