network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,608,656,690,,,,,,,,,657,7167,7217,7250,,,,
testnet,default,transfer-erc20-test,,,0,516,556,618,,,,,,,,,559,7071,7072,7107,,,,
testnet,default,transfer-cadence-soft-finality-test,,,1,474,515,552,,,,,,,515,6809,,,6847,6885,,,517,9927
testnet,default,transfer-cadence-test,,,0,532,568,607,,,,,,,569,6866,,,6904,8634,,,570,8944
mainnet,default,transfer-test,,,0,897,905,915,,,,,,,,,906,7191,7198,7208,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,403,452,504,,,,,,,453,8246,,,8291,8370,,,454,8246
testnet,ALCHEMY_URL,transfer-test,,,0,788,807,837,,,,,,,,,808,7321,7338,7370,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,687,703,734,,,,,,,,,706,7201,7233,7282,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,349,353,382,,,,,,,,,353,7154,7182,7461,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,390,406,415,,,,,,,,,407,6683,6693,6702,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,378,402,416,,,,,,,,,405,6684,6703,6714,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,725,755,764,,,,,,,,,756,7033,7053,7063,,,,
mainnet,default,headless-kittypunch-swap-1,0,21354,,,,,21388,29584,,,29634,48228,,,,,,,48228,54646,,
mainnet,default,headless-kittypunch-swap-2,0,2028,,,,,,,2038,8295,8333,26605,,,,,,,26642,33556,,
