network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,386,404,431,,,405,6858,6865,6891,,
testnet,default,transfer-erc20-test,0,416,455,492,,,458,6934,6971,6998,,
testnet,default,transfer-cadence-soft-finality-test,0,583,616,683,616,5816,,,5847,5907,618,10072
testnet,default,transfer-cadence-test,0,371,408,458,409,4617,,,4633,8402,410,8901
testnet,ALCHEMY_URL,transfer-test,0,434,457,511,,,458,7078,7127,7162,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,408,456,602,,,459,7163,7214,7260,,
testnet,QUICKNODE_URL,transfer-test,0,341,353,378,,,353,6804,6817,6843,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,355,354,386,,,356,6846,6876,6905,,
