network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,370,404,410,,,405,3439,3486,3491,,
testnet,default,transfer-erc20-test,0,179,202,210,,,204,6437,6469,6474,,
testnet,default,transfer-cadence-soft-finality-test,0,403,411,460,412,3484,,,3484,3541,413,7678
testnet,default,transfer-cadence-test,0,328,330,357,331,3398,,,3399,6419,332,6535
testnet,ALCHEMY_URL,transfer-test,0,359,404,420,,,405,3582,3584,3603,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,263,304,325,,,307,3454,3486,3506,,
testnet,QUICKNODE_URL,transfer-test,0,269,302,307,,,303,3337,3386,3391,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,182,202,210,,,204,3235,3235,3240,,
