network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,942,965,1035,,,966,4602,4612,4681,,
testnet,default,transfer-erc20-test,0,778,812,886,,,815,4431,4462,4533,,
testnet,default,transfer-cadence-soft-finality-test,0,659,708,806,709,5151,,,5191,5290,711,7355
testnet,default,transfer-cadence-test,0,560,606,690,607,3957,,,3985,7113,609,7271
mainnet,default,transfer-test,0,892,912,987,,,913,7849,7875,7949,,
mainnet,default,transfer-cadence-soft-finality-test,0,713,736,862,737,7723,,,7735,7851,739,12121
testnet,ALCHEMY_URL,transfer-test,0,1024,1064,1181,,,1065,4935,4959,5078,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,833,861,1019,,,865,4827,4864,4983,,
testnet,QUICKNODE_URL,transfer-test,0,659,658,728,,,659,4272,4307,4377,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,688,712,792,,,715,4354,4362,4432,,
mainnet,QUICKNODE_URL,transfer-test,0,896,911,985,,,912,7840,7851,7924,,
