network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,717,715,750,,,,,,,,,716,7218,7249,7284,,,,
testnet,default,transfer-erc20-test,,,0,542,560,599,,,,,,,,,563,7076,7091,7127,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,452,462,523,,,,,,,463,7821,,,7863,7901,,,464,10941
testnet,default,transfer-cadence-test,,,0,474,484,545,,,,,,,485,5750,,,5794,8538,,,487,8869
mainnet,default,transfer-test,,,0,635,664,674,,,,,,,,,664,6946,6989,6997,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,462,498,550,,,,,,,499,7757,,,7795,7847,,,500,10870
testnet,ALCHEMY_URL,transfer-test,,,0,460,459,508,,,,,,,,,460,3756,3777,3810,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,409,407,444,,,,,,,,,410,6910,6943,6999,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,704,715,746,,,,,,,,,716,7256,7296,7337,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,326,356,365,,,,,,,,,357,6645,6687,6695,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,292,307,320,,,,,,,,,310,6589,6639,6649,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,511,509,519,,,,,,,,,510,6794,6840,6849,,,,
mainnet,default,headless-kittypunch-swap-1,0,20812,,,,,20829,29154,,,29195,47890,,,,,,,47938,54769,,
mainnet,default,headless-kittypunch-swap-2,0,2027,,,,,,,2058,8089,8138,26688,,,,,,,26722,33057,,
