providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-test,0,1280,1300,1389,8150,8235,,,1300,8159,,
default,transfer-erc20-test,0,800,800,855,7400,7485,,,800,7430,,
default,transfer-cadence-soft-finality-test,0,582,500,731,7150,7362,500,7260,,,500,10810
default,transfer-cadence-test,0,465,400,567,4950,8099,400,5017,,,400,8554
ALCHEMY_URL,transfer-test,0,2015,2050,2209,16650,17010,,,2050,16699,,
ALCHEMY_URL,transfer-erc20-test,0,2058,2100,2421,10600,10963,,,2100,10607,,
