network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,623,663,727,,,662,7526,7549,7612,,
testnet,default,transfer-erc20-test,0,598,612,678,,,614,7431,7453,7517,,
testnet,default,transfer-cadence-soft-finality-test,0,556,605,711,605,4966,,,4995,5095,606,9369
testnet,default,transfer-cadence-test,0,512,516,615,516,4872,,,4903,8924,518,9271
mainnet,default,transfer-test,0,639,664,735,,,664,4381,4394,4464,,
testnet,ALCHEMY_URL,transfer-test,0,1392,1428,1697,,,1428,5858,5870,6137,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1112,1124,1244,,,1126,5338,5362,5615,,
mainnet,ALCHEMY_URL,transfer-test,0,1085,1125,1369,,,1125,3494,3523,3615,,
testnet,QUICKNODE_URL,transfer-test,0,676,715,777,,,715,7536,7556,7618,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,580,613,678,,,615,7473,7507,7570,,
mainnet,QUICKNODE_URL,transfer-test,0,780,817,888,,,818,7810,7817,7888,,
