network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1001,1008,1044,,,1009,7513,7555,7594,,
testnet,default,transfer-erc20-test,0,876,906,957,,,909,7466,7494,7556,,
testnet,default,transfer-cadence-soft-finality-test,0,517,532,677,533,4970,,,5009,5094,535,8290
testnet,default,transfer-cadence-test,0,550,587,690,588,5052,,,5066,8546,590,9351
mainnet,default,transfer-test,1,996,1004,1015,,,1005,7292,7302,7311,,
mainnet,default,transfer-cadence-soft-finality-test,0,641,658,854,659,7320,,,7338,7442,660,9399
testnet,ALCHEMY_URL,transfer-test,0,470,504,535,,,505,7058,7086,7122,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,416,452,511,,,455,7082,7082,7125,,
mainnet,ALCHEMY_URL,transfer-test,0,920,956,1038,,,957,8013,8042,8156,,
testnet,QUICKNODE_URL,transfer-test,0,458,501,511,,,502,6778,6822,6831,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,267,303,317,,,306,6579,6590,6600,,
mainnet,QUICKNODE_URL,transfer-test,0,447,455,465,,,455,6738,6743,6752,,
