network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,692,714,733,,,714,3885,3929,3948,,
testnet,default,transfer-erc20-test,0,317,361,385,,,363,3525,3527,3548,,
testnet,default,transfer-cadence-soft-finality-test,0,479,524,580,524,4725,,,4759,4810,526,6839
testnet,default,transfer-cadence-test,0,317,360,392,361,4630,,,4645,6576,362,6741
mainnet,default,transfer-test,0,748,769,793,,,770,3972,3983,4006,,
mainnet,default,transfer-cadence-soft-finality-test,0,544,559,626,560,9537,,,9539,9607,562,12613
testnet,ALCHEMY_URL,transfer-test,0,1232,1276,1497,,,1277,5438,5460,5551,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,915,919,1133,,,921,4797,4798,4901,,
mainnet,ALCHEMY_URL,transfer-test,0,675,716,802,,,717,7597,7602,7679,,
testnet,QUICKNODE_URL,transfer-test,0,346,357,376,,,358,3518,3521,3540,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,333,358,381,,,361,3527,3577,3598,,
mainnet,QUICKNODE_URL,transfer-test,0,518,566,589,,,566,6995,7045,7069,,
