network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1191,1211,1319,,,,,,,1212,8304,8320,8382,,,,
testnet,default,transfer-erc20-test,,,0,713,753,818,,,,,,,756,7454,7495,7557,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,590,627,739,,,,,628,6270,,,6307,6420,,,629,9567
testnet,default,transfer-cadence-test,,,0,379,413,497,,,,,413,5833,,,5842,8449,,,415,9024
mainnet,default,transfer-test,,,0,1111,1111,1182,,,,,,,1112,7815,7861,7932,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,617,651,769,,,,,652,7787,,,7793,7910,,,653,12247
testnet,ALCHEMY_URL,transfer-test,,,0,830,856,969,,,,,,,857,8094,8112,8223,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,760,806,928,,,,,,,808,7946,7953,8077,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,993,1003,1108,,,,,,,1005,8113,8148,8256,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,568,603,678,,,,,,,604,7536,7539,7613,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,547,552,631,,,,,,,555,7503,7540,7616,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,721,751,823,,,,,,,752,7447,7493,7564,,,,
mainnet,default,headless-kittypunch-swap-1,0,20511,,,,,20518,21738,21778,40286,,,,,,,40304,47214,,
