network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,656,659,678,,,660,7041,7077,7096,,
testnet,default,transfer-erc20-test,0,417,455,478,,,457,6839,6867,6888,,
testnet,default,transfer-cadence-soft-finality-test,0,582,629,684,630,4858,,,4863,4916,631,9080
testnet,default,transfer-cadence-test,0,352,382,418,383,4616,,,4661,7823,384,7781
mainnet,default,transfer-test,1,590,608,632,,,609,7031,7079,7103,,
mainnet,default,transfer-cadence-soft-finality-test,0,342,375,441,375,4159,,,4202,7269,377,10527
testnet,ALCHEMY_URL,transfer-test,0,463,508,533,,,509,7005,7018,7053,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,589,607,649,,,610,7105,7113,7143,,
mainnet,ALCHEMY_URL,transfer-test,0,407,455,485,,,456,6935,6967,6992,,
testnet,QUICKNODE_URL,transfer-test,0,277,304,324,,,305,6681,6713,6732,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,256,305,329,,,308,6686,6689,6708,,
mainnet,QUICKNODE_URL,transfer-test,0,274,301,325,,,302,6733,6775,6799,,
