network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,987,1003,1090,,,,,,,1004,7669,7686,7731,,,,
testnet,default,transfer-erc20-test,,,0,811,851,943,,,,,,,854,7518,7555,7603,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,462,469,520,,,,,470,4862,,,4896,4984,,,472,9142
testnet,default,transfer-cadence-test,,,0,476,483,591,,,,,484,5956,,,5957,8611,,,485,9106
mainnet,default,transfer-test,,,0,627,657,729,,,,,,,658,7355,7388,7459,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,613,651,814,,,,,652,6397,,,6431,6623,,,654,11156
testnet,ALCHEMY_URL,transfer-test,,,0,883,905,1022,,,,,,,906,8091,8101,8214,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,767,765,882,,,,,,,768,7949,7989,8104,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1013,1057,1190,,,,,,,1058,8463,8498,8713,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,709,708,770,,,,,,,709,7476,7496,7552,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,620,654,720,,,,,,,657,7456,7501,7564,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,827,855,928,,,,,,,856,7706,7749,7820,,,,
mainnet,default,headless-kittypunch-swap-1,0,21530,,,,,21562,30301,30313,48796,,,,,,,48839,52651,,
