network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1037,1054,1092,,,,,,,1054,4367,4371,4406,,,,
testnet,default,transfer-erc20-test,,,0,598,602,642,,,,,,,605,3864,3877,3914,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,473,483,520,,,,,484,4669,,,4701,4738,,,485,7789
testnet,default,transfer-cadence-test,,,0,947,954,1013,,,,,955,5155,,,5178,7596,,,956,8273
mainnet,default,transfer-test,,,0,501,504,513,,,,,,,503,6782,6826,6835,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,488,521,590,,,,,521,6763,,,6798,6972,,,523,8825
testnet,ALCHEMY_URL,transfer-test,,,0,509,556,597,,,,,,,557,3872,3873,3899,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,422,452,521,,,,,,,455,3743,3773,3810,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,793,799,838,,,,,,,800,7348,7374,7406,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,450,452,461,,,,,,,452,3519,3567,3577,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,345,353,366,,,,,,,356,3437,60000,120182,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,772,805,815,,,,,,,806,7084,7117,7126,,,,
mainnet,default,headless-kittypunch-swap-1,0,21385,,,,,21415,29775,29807,48156,,,,,,,48182,55168,,
