network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,986,1009,1046,,,,,,,1010,4321,4330,4364,,,,
testnet,default,transfer-erc20-test,,,0,789,804,866,,,,,,,807,4111,4125,4161,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,490,499,558,,,,,499,4726,,,4770,4831,,,501,6830
testnet,default,transfer-cadence-test,,,0,488,523,606,,,,,524,4751,,,4752,5982,,,526,6830
mainnet,default,transfer-test,,,0,972,1007,1017,,,,,,,1007,7289,7310,7319,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,468,501,672,,,,,502,5326,,,5371,5422,,,503,11815
testnet,ALCHEMY_URL,transfer-test,,,0,441,452,504,,,,,,,453,3732,3778,3806,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,338,354,408,,,,,,,357,3638,3680,3717,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,696,703,735,,,,,,,704,7319,7340,7368,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,511,552,561,,,,,,,551,3632,3668,3676,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,500,502,517,,,,,,,505,3574,3613,3623,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,417,453,463,,,,,,,454,6735,6736,6745,,,,
mainnet,default,headless-kittypunch-swap-1,0,21289,,,,,21293,29609,29634,48395,,,,,,,48403,54974,,
