network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,633,655,686,,,,,,,656,3908,3940,3971,,,,
testnet,default,transfer-erc20-test,,,0,642,656,691,,,,,,,659,3930,3940,3997,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,252,265,298,,,,,265,4468,,,4488,4521,,,266,6538
testnet,default,transfer-cadence-test,,,0,954,999,1081,,,,,1000,6235,,,6280,7530,,,1001,8324
mainnet,default,transfer-test,,,0,447,450,455,,,,,,,450,6691,6736,6741,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,234,237,284,,,,,238,6575,,,6618,6665,,,240,10728
testnet,ALCHEMY_URL,transfer-test,,,0,758,804,833,,,,,,,804,4054,4067,4093,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,513,553,628,,,,,,,556,3784,3822,3861,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,404,404,442,,,,,,,404,6996,7042,7074,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,272,307,312,,,,,,,308,6543,6587,6591,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,281,301,312,,,,,,,304,3336,3370,3375,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,553,552,558,,,,,,,553,6794,6828,6832,,,,
mainnet,default,headless-kittypunch-swap-1,0,21011,,,,,21030,29241,29266,47863,,,,,,,47906,54004,,
