network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,804,818,878,,,,,,,819,7614,7658,7718,,,,
testnet,default,transfer-erc20-test,,,0,890,918,984,,,,,,,921,7715,7759,7821,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,653,702,795,,,,,652,5124,,,5142,5234,,,653,8415
testnet,default,transfer-cadence-test,,,0,502,507,588,,,,,508,4922,,,4949,8184,,,510,9313
mainnet,default,transfer-test,,,0,1030,1072,1128,,,,,,,1072,7653,7655,7716,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,432,431,531,,,,,432,8580,,,8595,8692,,,434,10802
testnet,ALCHEMY_URL,transfer-test,,,0,2084,2094,2411,,,,,,,2094,6560,6586,6863,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1539,1569,1846,,,,,,,1572,5852,5853,5963,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1987,1990,2142,,,,,,,1990,6613,6633,6765,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,683,715,772,,,,,,,715,7472,7502,7558,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,570,616,678,,,,,,,619,7377,7404,7462,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,2636,2658,2719,,,,,,,2659,9251,9294,9354,,,,
mainnet,default,headless-kittypunch-swap-2,0,2658,,,,,2704,6527,6557,25272,,,,,,,25293,32165,,
