network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,960,1004,1057,,,1005,7564,7606,7640,,
testnet,default,transfer-erc20-test,0,766,805,844,,,808,7357,7406,7445,,
testnet,default,transfer-cadence-soft-finality-test,0,502,541,594,542,6920,,,6921,6976,543,10088
testnet,default,transfer-cadence-test,0,376,417,478,418,5747,,,5786,7473,420,7878
mainnet,default,transfer-test,0,800,801,841,,,802,7382,7394,7434,,
mainnet,default,transfer-cadence-soft-finality-test,0,549,572,662,572,12240,,,12284,12378,574,12241
testnet,ALCHEMY_URL,transfer-test,0,863,906,981,,,907,7737,7747,7828,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,778,807,875,,,809,7620,7638,7719,,
mainnet,ALCHEMY_URL,transfer-test,0,727,753,824,,,754,8073,8093,8431,,
testnet,QUICKNODE_URL,transfer-test,0,550,553,582,,,554,7015,7043,7069,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,570,606,636,,,609,7072,7108,7136,,
mainnet,QUICKNODE_URL,transfer-test,0,771,803,849,,,804,7442,7462,7507,,
