network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,560,605,638,,,,,,,606,7070,7112,7143,,,,
testnet,default,transfer-erc20-test,,,0,268,310,345,,,,,,,313,6769,6790,6823,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,252,267,300,,,,,267,6568,,,6597,6656,,,269,9730
testnet,default,transfer-cadence-test,,,0,286,298,379,,,,,299,6573,,,6576,8461,,,300,8650
mainnet,default,transfer-test,,,0,676,714,720,,,,,,,715,3756,3775,3781,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,284,322,369,,,,,322,8231,,,8231,8296,,,324,11380
testnet,ALCHEMY_URL,transfer-test,,,0,763,765,798,,,,,,,765,7268,7294,7323,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,660,663,702,,,,,,,666,7132,7148,7175,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1549,1581,1605,,,,,,,1581,8003,8014,8048,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,299,306,311,,,,,,,306,6551,6581,6586,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,295,307,316,,,,,,,310,6553,6583,6590,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,443,459,465,,,,,,,459,6704,6734,6740,,,,
mainnet,default,headless-kittypunch-swap-1,0,20752,,,,,20801,29115,29117,47463,,,,,,,47494,53880,,
