network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1152,1176,1287,,,,,,,1177,8070,8118,8178,,,,
testnet,default,transfer-erc20-test,,,0,776,817,881,,,,,,,819,7666,7709,7772,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,582,619,686,,,,,619,5081,,,5112,5175,,,621,8284
testnet,default,transfer-cadence-test,,,0,487,525,589,,,,,525,8035,,,8078,9438,,,527,10166
mainnet,default,transfer-test,,,0,1032,1071,1143,,,,,,,1071,7777,7820,7891,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,762,773,965,,,,,773,31879,,,31888,32002,,,775,31879
testnet,ALCHEMY_URL,transfer-test,,,0,855,867,960,,,,,,,867,7898,7908,8005,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,818,820,920,,,,,,,823,7809,7812,7904,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1003,1024,1273,,,,,,,1025,5083,5109,7161,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,703,714,778,,,,,,,714,7558,7603,7667,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,691,715,786,,,,,,,717,7586,7609,7678,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,678,715,786,,,,,,,715,7414,7455,7526,,,,
mainnet,default,headless-kittypunch-swap-1,0,21756,,,,,21801,30304,30322,48979,,,,,,,49007,55964,,
