network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,698,702,734,,,,,,,,,703,3980,3983,4014,,,,
testnet,default,transfer-erc20-test,,,0,659,705,740,,,,,,,,,708,3960,3997,4029,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,455,489,548,,,,,,,490,4707,,,4715,4773,,,491,7835
testnet,default,transfer-cadence-test,,,0,482,524,598,,,,,,,525,4733,,,4750,7146,,,526,7862
mainnet,default,transfer-test,,,0,292,303,309,,,,,,,,,304,6550,6552,6557,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,450,453,517,,,,,,,453,7064,,,7088,7135,,,455,10168
testnet,ALCHEMY_URL,transfer-test,,,1,381,402,436,,,,,,,,,403,3634,3670,3691,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,292,304,332,,,,,,,,,307,3617,3626,3653,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,880,901,1290,,,,,,,,,902,7420,7434,7767,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,398,402,407,,,,,,,,,402,3438,3478,3483,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,231,254,306,,,,,,,,,256,6541,6591,6598,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,352,354,361,,,,,,,,,355,6593,6613,6618,,,,
mainnet,default,headless-kittypunch-swap-1,0,20711,,,,,20745,28903,,,28935,47409,,,,,,,47437,53517,,
mainnet,default,headless-kittypunch-swap-2,0,2050,,,,,,,2072,8309,8333,26998,,,,,,,27047,33419,,
