network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,988,1008,1054,,,1008,7664,7679,7726,,
testnet,default,transfer-erc20-test,0,530,557,608,,,559,7209,7240,7288,,
testnet,default,transfer-cadence-soft-finality-test,0,698,697,773,698,7162,,,7185,7260,699,10408
testnet,default,transfer-cadence-test,0,431,446,514,447,5897,,,5931,8357,449,9142
mainnet,default,transfer-test,0,1659,1664,1758,,,1665,8556,8593,8683,,
mainnet,default,transfer-cadence-soft-finality-test,0,920,930,1078,931,7311,,,7316,7453,932,13103
testnet,ALCHEMY_URL,transfer-test,0,1702,1718,1937,,,1719,8935,8940,9070,,
testnet,ALCHEMY_URL,transfer-erc20-test,1,1439,1462,1582,,,1464,9179,9183,9313,,
mainnet,ALCHEMY_URL,transfer-test,0,1517,1561,1756,,,1562,6048,6051,6158,,
testnet,QUICKNODE_URL,transfer-test,0,568,608,660,,,609,7272,7274,7319,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,475,502,554,,,505,7152,7164,7214,,
mainnet,QUICKNODE_URL,transfer-test,0,750,758,849,,,759,7647,7666,7756,,
