network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,492,506,539,,,,,,,507,6957,7003,7034,,,,
testnet,default,transfer-erc20-test,,,0,738,752,789,,,,,,,756,7229,7247,7292,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,295,307,341,,,,,308,5600,,,5634,5669,,,309,8760
testnet,default,transfer-cadence-test,,,0,459,475,532,,,,,475,5733,,,5745,9389,,,477,9876
mainnet,default,transfer-test,,,0,604,603,608,,,,,,,604,6838,6861,6866,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,945,953,1000,,,,,954,8750,,,8752,8800,,,955,8750
testnet,ALCHEMY_URL,transfer-test,,,0,744,755,790,,,,,,,756,7273,7305,7331,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,707,750,782,,,,,,,754,7168,7205,7234,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,591,605,707,,,,,,,606,7049,7091,7130,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,267,301,307,,,,,,,302,6544,6580,6586,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,284,304,315,,,,,,,307,6544,6589,6596,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,863,904,910,,,,,,,905,7146,7189,7195,,,,
mainnet,default,headless-kittypunch-swap-1,0,21064,,,,,21104,29353,29397,48033,,,,,,,48058,54427,,
