network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-3,0,18067,18113,26228,,,26228,42035,42043,49387
mainnet,default,headless-kittypunch-swap-4,0,1608,,,1639,7347,7356,23023,23031,27365
