network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1011,1009,1063,,,1010,4437,4445,4492,,
testnet,default,transfer-erc20-test,0,644,656,708,,,659,4033,4035,4077,,
testnet,default,transfer-cadence-soft-finality-test,0,737,755,834,755,4044,,,4076,4165,757,7310
testnet,default,transfer-cadence-test,0,448,468,531,469,3731,,,3744,7128,471,7226
mainnet,default,transfer-test,0,717,758,813,,,759,13890,13923,13971,,
mainnet,default,transfer-cadence-soft-finality-test,0,1427,1433,1529,1434,5404,,,5404,5499,1435,10852
testnet,ALCHEMY_URL,transfer-test,0,686,708,775,,,708,4269,4290,4344,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,570,609,684,,,611,4204,4249,4319,,
mainnet,ALCHEMY_URL,transfer-test,0,634,659,721,,,660,7426,7473,7523,,
testnet,QUICKNODE_URL,transfer-test,0,491,506,560,,,507,3929,3937,3983,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,467,506,564,,,509,7178,7180,7228,,
mainnet,QUICKNODE_URL,transfer-test,0,520,556,612,,,557,3998,4036,4103,,
