network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,795,805,841,,,,,,,806,7372,7393,7430,,,,
testnet,default,transfer-erc20-test,,,0,613,654,694,,,,,,,657,7216,7222,7257,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,548,591,632,,,,,591,6935,,,6962,7015,,,593,10112
testnet,default,transfer-cadence-test,,,0,327,370,411,,,,,371,7787,,,7800,10028,,,373,9905
mainnet,default,transfer-test,,,0,1193,1208,1248,,,,,,,1208,7789,7811,7851,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,896,916,1033,,,,,917,6619,,,6653,6734,,,918,10994
testnet,ALCHEMY_URL,transfer-test,,,0,747,758,853,,,,,,,759,7636,7650,7720,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,629,654,749,,,,,,,656,7530,7546,7624,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,2349,2361,2475,,,,,,,2362,7064,7099,7575,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,583,607,634,,,,,,,608,7060,7083,7109,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,435,453,484,,,,,,,455,6906,6944,6972,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,696,705,745,,,,,,,705,7290,7292,7332,,,,
mainnet,default,headless-kittypunch-swap-1,0,21554,,,,,21598,29863,29881,48527,,,,,,,48542,55534,,
