network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,621,662,693,,,,,,,,,663,3911,3932,3962,,,,
testnet,default,transfer-erc20-test,,,0,500,510,547,,,,,,,,,513,3746,3778,3810,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,462,502,558,,,,,,,503,4758,,,4788,4845,,,504,6855
testnet,default,transfer-cadence-test,,,0,273,276,331,,,,,,,277,3411,,,3444,6499,,,279,6541
mainnet,default,transfer-test,,,0,480,510,519,,,,,,,,,511,6754,6786,6791,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,477,513,578,,,,,,,514,5536,,,5567,5613,,,515,10854
testnet,ALCHEMY_URL,transfer-test,,,0,457,458,509,,,,,,,,,459,3818,3826,3880,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,404,408,457,,,,,,,,,411,3722,3727,3765,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,420,459,497,,,,,,,,,460,7000,7043,7072,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,330,359,364,,,,,,,,,359,3391,3420,3425,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,499,510,518,,,,,,,,,513,3568,3574,3579,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,408,408,414,,,,,,,,,409,6670,6686,6691,,,,
mainnet,default,headless-kittypunch-swap-1,0,20889,,,,,20917,29284,,,29334,48038,,,,,,,48076,61047,,
mainnet,default,headless-kittypunch-swap-2,0,2210,,,,,,,2223,8416,8417,27366,,,,,,,27412,33742,,
