network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,826,862,881,,,,,,,,,863,7242,7289,7307,,,,
testnet,default,transfer-erc20-test,,,0,482,506,528,,,,,,,,,509,6885,6921,6941,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,671,718,768,,,,,,,718,7011,,,7011,7065,,,719,11238
testnet,default,transfer-cadence-test,,,0,330,368,405,,,,,,,369,5643,,,5652,8808,,,370,8810
mainnet,default,transfer-test,,,0,934,961,986,,,,,,,,,962,7391,7434,7458,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,1,682,692,770,,,,,,,692,6593,,,6630,6712,,,694,13003
testnet,ALCHEMY_URL,transfer-test,,,0,1072,1116,1172,,,,,,,,,1117,8234,8258,8322,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,603,607,687,,,,,,,,,609,7487,7533,7612,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,756,758,809,,,,,,,,,759,7428,7433,7479,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,510,555,574,,,,,,,,,556,6931,6976,6994,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,598,602,624,,,,,,,,,606,6980,7024,7044,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,606,605,630,,,,,,,,,606,7032,7073,7098,,,,
mainnet,default,headless-kittypunch-swap-3,0,17997,,,,,18022,93586,,,93606,109344,,,,,,,109394,116798,,
mainnet,default,headless-kittypunch-swap-4,0,1596,,,,,,,1614,5798,5818,21637,,,,,,,21681,29020,,
