network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,889,918,1004,,,919,7591,7605,7650,,
testnet,default,transfer-erc20-test,0,459,459,511,,,462,7049,7092,7141,,
testnet,default,transfer-cadence-soft-finality-test,0,443,452,542,453,4809,,,4840,4927,454,7997
testnet,default,transfer-cadence-test,0,425,457,546,458,5782,,,5816,7933,460,7925
mainnet,default,transfer-test,0,996,1019,1087,,,1019,7635,7654,7721,,
mainnet,default,transfer-cadence-soft-finality-test,0,674,719,822,720,8097,,,8120,8288,721,14038
testnet,ALCHEMY_URL,transfer-test,0,1016,1022,1167,,,1022,5161,5208,5356,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,834,866,994,,,868,5020,5059,5187,,
mainnet,ALCHEMY_URL,transfer-test,0,1033,1071,1224,,,1072,5161,5208,5724,,
testnet,QUICKNODE_URL,transfer-test,0,602,611,672,,,612,7416,7451,7512,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,469,509,574,,,512,7279,7300,7359,,
mainnet,QUICKNODE_URL,transfer-test,0,582,612,679,,,613,7226,7246,7313,,
