network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,895,905,1000,,,,,,,,,906,7611,7635,7686,,,,
testnet,default,transfer-erc20-test,,,0,995,1005,1080,,,,,,,,,1007,7707,7738,7792,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,596,611,713,,,,,,,612,6047,,,6088,6166,,,614,9292
testnet,default,transfer-cadence-test,,,0,638,643,726,,,,,,,644,6105,,,6122,8768,,,645,9364
mainnet,default,transfer-test,,,0,998,1007,1035,,,,,,,,,1008,4222,4224,4247,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,428,439,505,,,,,,,440,6106,,,6109,6174,,,441,10470
testnet,ALCHEMY_URL,transfer-test,,,0,946,954,1019,,,,,,,,,955,7642,7647,7697,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,886,908,960,,,,,,,,,911,7587,7614,7660,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,873,906,950,,,,,,,,,905,7521,7547,7604,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,456,503,522,,,,,,,,,503,6877,6887,6906,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,497,504,527,,,,,,,,,506,6886,6887,6909,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,825,853,881,,,,,,,,,854,13724,13753,13777,,,,
mainnet,default,headless-kittypunch-swap-1,0,21057,,,,,21089,29262,,,29287,47562,,,,,,,47580,51390,,
mainnet,default,headless-kittypunch-swap-2,0,20638,,,,,,,20687,26471,26476,45036,,,,,,,45083,51643,,
