network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,1,383,408,414,,,408,6650,6687,6693,,
testnet,default,transfer-erc20-test,0,293,302,311,,,305,6542,6579,6586,,
testnet,default,transfer-cadence-soft-finality-test,0,304,313,355,314,5385,,,5395,5434,315,8533
testnet,default,transfer-cadence-test,0,216,229,251,230,5316,,,5361,8404,231,8446
testnet,ALCHEMY_URL,transfer-test,0,279,302,315,,,303,6690,6718,6733,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,427,455,476,,,458,3682,3693,3774,,
testnet,QUICKNODE_URL,transfer-test,0,277,305,310,,,305,6544,6582,6586,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,181,203,211,,,205,6444,6481,6486,,
