network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,941,969,1030,,,,,,,969,7825,7855,7917,,,,
testnet,default,transfer-erc20-test,,,0,860,866,932,,,,,,,870,7716,7758,7823,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,543,583,693,,,,,584,5959,,,5996,6059,,,586,9159
testnet,default,transfer-cadence-test,,,0,589,624,756,,,,,625,8220,,,8225,9812,,,627,10356
mainnet,default,transfer-test,,,0,867,866,939,,,,,,,867,7579,7600,7672,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,692,727,864,,,,,727,6059,,,6087,6208,,,729,10493
testnet,ALCHEMY_URL,transfer-test,,,0,1110,1121,1238,,,,,,,1122,8168,8212,8304,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,986,1019,1112,,,,,,,1022,8012,8015,8124,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,906,917,1020,,,,,,,918,7921,7961,8053,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,878,918,990,,,,,,,918,7797,7809,7881,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,729,765,836,,,,,,,768,7625,7657,7726,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,724,766,839,,,,,,,767,7477,7500,7572,,,,
mainnet,default,headless-kittypunch-swap-2,0,20816,,,,,20847,27211,27239,45754,,,,,,,45785,48089,,
