network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,509,512,520,,,,,,,,,513,3583,3625,3638,,,,
testnet,default,transfer-erc20-test,,,1,261,305,318,,,,,,,,,308,3377,3420,3430,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,762,770,812,,,,,,,770,4956,,,4956,4996,,,772,8091
testnet,default,transfer-cadence-test,,,0,248,255,277,,,,,,,256,3422,,,3422,6186,,,257,6552
mainnet,default,transfer-test,,,0,550,563,572,,,,,,,,,564,13255,13264,13273,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,520,569,621,,,,,,,569,9524,,,9547,9600,,,571,9525
testnet,ALCHEMY_URL,transfer-test,,,0,457,462,527,,,,,,,,,462,3915,3933,3983,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,468,512,566,,,,,,,,,515,3909,3933,3986,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,792,819,1119,,,,,,,,,820,7529,7555,7588,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,267,306,316,,,,,,,,,307,3378,3420,3429,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,318,356,369,,,,,,,,,359,3427,3472,3483,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,390,407,416,,,,,,,,,408,6699,6735,6744,,,,
mainnet,default,headless-kittypunch-swap-1,0,21421,,,,,21464,24013,,,24030,42690,,,,,,,42691,49136,,
mainnet,default,headless-kittypunch-swap-2,0,2834,,,,,,,2865,6252,6265,25159,,,,,,,25168,31635,,
