network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1232,1274,1350,,,1275,7965,8012,8052,,
testnet,default,transfer-erc20-test,0,1127,1173,1234,,,1176,7745,7757,7800,,
testnet,default,transfer-cadence-soft-finality-test,0,880,894,982,894,6409,,,6409,6464,895,9147
testnet,default,transfer-cadence-test,0,949,962,1173,963,7913,,,7956,9856,965,10142
mainnet,default,transfer-test,0,1116,1122,1210,,,1123,8040,8060,8286,,
mainnet,default,transfer-cadence-soft-finality-test,0,769,819,960,820,8199,,,8216,8351,820,10420
testnet,ALCHEMY_URL,transfer-test,0,765,764,841,,,765,7540,7561,7626,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,739,765,842,,,768,7551,7552,7622,,
mainnet,ALCHEMY_URL,transfer-test,0,680,713,782,,,714,7484,7498,7562,,
testnet,QUICKNODE_URL,transfer-test,0,664,662,697,,,663,7217,7247,7282,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,511,510,554,,,513,7095,7144,7185,,
mainnet,QUICKNODE_URL,transfer-test,0,893,917,1005,,,918,7780,7804,7891,,
