network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,761,765,800,,,,,,,766,7258,7299,7333,,,,
testnet,default,transfer-erc20-test,,,0,658,662,700,,,,,,,665,7192,7198,7237,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,401,440,499,,,,,441,5799,,,5800,5858,,,442,8956
testnet,default,transfer-cadence-test,,,0,331,370,443,,,,,371,7816,,,7821,10562,,,372,10995
mainnet,default,transfer-test,,,1,614,611,635,,,,,,,612,7040,7090,7114,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,598,633,716,,,,,632,6761,,,6808,6875,,,634,9935
testnet,ALCHEMY_URL,transfer-test,,,0,947,969,1026,,,,,,,970,90972,60000,121206,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,835,873,933,,,,,,,876,90877,60000,121219,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1626,1633,1949,,,,,,,1633,10455,10459,10624,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,475,509,532,,,,,,,510,13347,13367,13390,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,443,458,482,,,,,,,461,6857,6907,6932,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,527,559,584,,,,,,,560,6993,7002,7027,,,,
mainnet,default,headless-kittypunch-swap-2,0,1921,,,,,1924,8305,8317,26781,,,,,,,26784,33125,,
