network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,675,706,762,,,,,,,707,7165,7187,7219,,,,
testnet,default,transfer-erc20-test,,,0,662,662,697,,,,,,,665,7139,7168,7199,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,428,441,475,,,,,442,6712,,,6713,6770,,,443,10867
testnet,default,transfer-cadence-test,,,0,298,302,357,,,,,303,7635,,,7636,10607,,,305,10794
mainnet,default,transfer-test,,,0,619,656,662,,,,,,,657,6911,6941,6947,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,289,317,384,,,,,318,9411,,,9422,9500,,,320,12714
testnet,ALCHEMY_URL,transfer-test,,,0,754,761,801,,,,,,,762,7286,7317,7349,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,690,704,734,,,,,,,707,7152,7160,7188,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,961,1008,1042,,,,,,,1008,7784,7814,7883,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,393,406,413,,,,,,,407,6651,6668,6673,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,330,353,363,,,,,,,356,6596,6605,6612,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,347,353,360,,,,,,,354,6622,6638,6643,,,,
mainnet,default,headless-kittypunch-swap-1,0,21186,,,,,21208,29449,29470,48330,,,,,,,48369,51707,,
