network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,744,756,787,,,,,,,757,7218,7235,7267,,,,
testnet,default,transfer-erc20-test,,,0,709,714,749,,,,,,,717,7176,7196,7252,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,479,497,530,,,,,498,4741,,,4787,4819,,,499,8934
testnet,default,transfer-cadence-test,,,0,465,505,585,,,,,506,6764,,,6783,9537,,,508,9898
mainnet,default,transfer-test,,,0,756,764,769,,,,,,,765,7008,7039,7044,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,428,429,478,,,,,430,5239,,,5276,5340,,,432,10499
testnet,ALCHEMY_URL,transfer-test,,,0,470,514,543,,,,,,,515,6987,6994,7023,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,346,356,381,,,,,,,358,6807,6837,6868,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,547,560,592,,,,,,,561,7010,7042,7063,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,391,411,417,,,,,,,412,6656,6689,6695,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,400,410,419,,,,,,,413,6653,6689,6695,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,2659,2703,2709,,,,,,,2657,8906,8932,8940,,,,
mainnet,default,headless-kittypunch-swap-1,0,20709,,,,,20740,28872,28903,47345,,,,,,,47382,53783,,
