network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,866,866,928,,,867,4406,4438,4499,,
testnet,default,transfer-erc20-test,0,720,764,830,,,767,4262,4290,4352,,
testnet,default,transfer-cadence-soft-finality-test,0,588,624,790,625,5044,,,5063,5129,626,7178
testnet,default,transfer-cadence-test,0,496,523,588,524,3833,,,3843,7355,526,8100
mainnet,default,transfer-test,0,911,917,989,,,918,7616,7650,7721,,
mainnet,default,transfer-cadence-soft-finality-test,0,679,693,823,694,7262,,,7277,7391,695,10681
testnet,ALCHEMY_URL,transfer-test,0,777,816,928,,,816,7907,7910,7995,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,827,866,981,,,868,4714,4749,4870,,
mainnet,ALCHEMY_URL,transfer-test,0,700,716,821,,,717,7736,7761,7856,,
testnet,QUICKNODE_URL,transfer-test,0,852,854,929,,,855,4515,4556,4630,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,765,768,850,,,771,4436,4450,4526,,
mainnet,QUICKNODE_URL,transfer-test,0,717,764,837,,,765,7470,7510,7582,,
