network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,692,713,746,,,,,,,,,714,7197,7235,7266,,,,
testnet,default,transfer-erc20-test,,,0,685,714,750,,,,,,,,,717,7170,7195,7227,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,440,479,539,,,,,,,480,6812,,,6813,6848,,,484,8885
testnet,default,transfer-cadence-test,,,0,417,431,508,,,,,,,431,5629,,,5639,8185,,,433,8734
mainnet,default,transfer-test,,,0,535,561,567,,,,,,,,,562,6807,6839,6845,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,286,307,1386,,,,,,,307,6359,,,6380,6447,,,309,10583
testnet,ALCHEMY_URL,transfer-test,,,0,659,665,712,,,,,,,,,665,7174,7199,7229,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,424,458,490,,,,,,,,,461,6936,6939,6985,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,437,459,486,,,,,,,,,460,6890,6891,6915,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,394,408,413,,,,,,,,,408,6649,6686,6691,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,326,359,368,,,,,,,,,362,6602,6636,6643,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,429,459,466,,,,,,,,,460,6704,6736,6741,,,,
mainnet,default,headless-kittypunch-swap-1,0,21130,,,,,21142,29672,,,29718,48138,,,,,,,48159,54495,,
mainnet,default,headless-kittypunch-swap-2,0,1847,,,,,,,1895,8419,8431,27054,,,,,,,27063,33397,,
