network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,486,506,512,,,,,,,,,507,3543,3552,3557,,,,
testnet,default,transfer-erc20-test,,,0,212,260,270,,,,,,,,,264,3308,3317,3325,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,521,532,573,,,,,,,533,3705,,,3705,3744,,,535,6836
testnet,default,transfer-cadence-test,,,0,227,237,273,,,,,,,238,3365,,,3365,6279,,,240,6519
mainnet,default,transfer-test,,,0,585,614,621,,,,,,,,,615,6860,6862,6867,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,498,498,546,,,,,,,499,7065,,,7102,7151,,,500,10260
testnet,ALCHEMY_URL,transfer-test,,,0,461,505,556,,,,,,,,,506,3864,3912,3957,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,386,407,446,,,,,,,,,410,3737,3765,3799,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,427,461,492,,,,,,,,,462,6938,6963,6990,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,267,305,310,,,,,,,,,306,3343,3351,3355,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,187,209,219,,,,,,,,,212,3251,3263,3269,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,313,356,362,,,,,,,,,357,6606,6651,6656,,,,
mainnet,default,headless-kittypunch-swap-3,0,18191,,,,,18223,21054,,,21086,36894,,,,,,,36925,44329,,
mainnet,default,headless-kittypunch-swap-4,0,1893,,,,,,,1939,5272,5317,21346,,,,,,,21376,28748,,
