network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,392,407,412,,,407,3441,3443,3447,,
testnet,default,transfer-erc20-test,0,298,304,315,,,306,3353,3389,3396,,
testnet,default,transfer-cadence-soft-finality-test,0,408,418,458,419,3545,,,3587,3804,420,7706
testnet,default,transfer-cadence-test,0,213,223,262,224,3351,,,3394,6354,226,6467
mainnet,default,transfer-test,0,1003,1006,1012,,,1007,7252,7271,7277,,
mainnet,default,transfer-cadence-soft-finality-test,1,259,291,340,291,5838,,,5874,5922,293,11108
testnet,ALCHEMY_URL,transfer-test,0,509,554,620,,,555,4059,4102,4161,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,467,511,559,,,515,3975,4011,4049,,
mainnet,ALCHEMY_URL,transfer-test,0,557,560,592,,,561,7188,7233,7299,,
testnet,QUICKNODE_URL,transfer-test,0,193,203,207,,,203,3232,3237,3241,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,212,252,262,,,255,3287,3287,3294,,
mainnet,QUICKNODE_URL,transfer-test,0,631,657,663,,,657,6902,6910,6916,,
