network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1020,1020,1072,,,,,,,1021,7631,7655,7706,,,,
testnet,default,transfer-erc20-test,,,0,670,714,772,,,,,,,717,7319,7352,7389,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,536,576,631,,,,,577,5897,,,5937,5990,,,578,8015
testnet,default,transfer-cadence-test,,,0,332,371,439,,,,,372,6714,,,6752,9395,,,374,9843
mainnet,default,transfer-test,,,0,1014,1019,1065,,,,,,,1020,7639,7656,7701,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,686,729,809,,,,,730,7612,,,7618,7708,,,731,10866
testnet,ALCHEMY_URL,transfer-test,,,0,930,968,1055,,,,,,,969,7952,7958,8041,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,800,816,894,,,,,,,819,7689,7708,7787,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,906,917,999,,,,,,,918,7791,7804,7888,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,585,614,644,,,,,,,615,7094,7096,7125,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,627,662,692,,,,,,,665,7127,7143,7171,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1054,1072,1119,,,,,,,1073,7717,7763,7808,,,,
mainnet,default,headless-kittypunch-swap-1,0,21044,,,,,21085,29711,29711,48108,,,,,,,48138,55028,,
