network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,886,918,971,,,,,,,,,919,7520,7552,7586,,,,
testnet,default,transfer-erc20-test,,,0,747,764,803,,,,,,,,,767,7329,7347,7382,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,591,629,686,,,,,,,627,5915,,,5932,5970,,,629,9078
testnet,default,transfer-cadence-test,,,0,515,516,593,,,,,,,517,6895,,,6895,9782,,,518,10037
mainnet,default,transfer-test,,,0,615,663,709,,,,,,,,,664,7309,7350,7395,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,724,771,874,,,,,,,772,5486,,,5521,5608,,,773,11066
testnet,ALCHEMY_URL,transfer-test,,,0,1006,1019,1094,,,,,,,,,1019,7869,7910,7979,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,938,968,1047,,,,,,,,,971,7811,7811,7886,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1185,1224,1295,,,,,,,,,1225,8353,8369,8435,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,626,662,692,,,,,,,,,663,7143,7144,7173,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,479,510,543,,,,,,,,,512,13415,13423,13454,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,919,919,965,,,,,,,,,920,7567,7571,7617,,,,
mainnet,default,headless-kittypunch-swap-1,0,21610,,,,,21644,29996,,,30015,48399,,,,,,,48403,55594,,
mainnet,default,headless-kittypunch-swap-2,0,1974,,,,,,,2006,8376,8389,26809,,,,,,,26822,33754,,
