providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-erc20-test,0,1480,1450,1506,7750,7932,,,1450,7886,,
default,transfer-cadence-soft-finality-test,0,919,850,983,6100,6342,850,6313,,,850,8442
default,transfer-cadence-test,0,413,350,530,6850,8691,350,7020,,,350,9667
ALCHEMY_URL,transfer-test,0,1297,1300,1528,14700,15177,,,1300,14991,,
ALCHEMY_URL,transfer-erc20-test,0,2238,2200,2422,16150,16563,,,2200,16463,,
