network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,829,857,909,,,,,,,,,858,4250,4296,4373,,,,
testnet,default,transfer-erc20-test,,,0,651,656,714,,,,,,,,,658,4052,4087,4140,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,596,642,725,,,,,,,643,3962,,,4007,4087,,,644,7186
testnet,default,transfer-cadence-test,,,0,574,591,694,,,,,,,592,4942,,,4969,7338,,,594,7053
mainnet,default,transfer-test,,,0,882,903,928,,,,,,,,,904,7348,7397,7421,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,702,720,789,,,,,,,721,7569,,,7603,7669,,,722,9705
testnet,ALCHEMY_URL,transfer-test,,,0,540,556,631,,,,,,,,,557,4039,4075,4127,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,541,554,615,,,,,,,,,557,4061,4082,4146,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,565,604,660,,,,,,,,,604,7408,7453,7513,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,423,452,471,,,,,,,,,453,3608,3627,3646,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,466,505,528,,,,,,,,,508,3670,3696,3717,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,701,701,726,,,,,,,,,702,3915,3931,3955,,,,
mainnet,default,headless-kittypunch-swap-1,0,21119,,,,,21132,29568,,,29577,47840,,,,,,,47878,54493,,
mainnet,default,headless-kittypunch-swap-2,0,1958,,,,,,,1989,8043,8082,26274,,,,,,,26282,32819,,
