network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,1,501,505,513,,,505,6783,6822,6830,,
testnet,default,transfer-erc20-test,0,219,255,268,,,258,6535,6577,6587,,
testnet,default,transfer-cadence-soft-finality-test,0,277,281,324,281,5367,,,5367,5411,282,9541
testnet,default,transfer-cadence-test,0,247,251,276,252,5341,,,5387,8462,253,8466
mainnet,default,transfer-test,0,735,760,770,,,761,7047,7074,7082,,
testnet,ALCHEMY_URL,transfer-test,0,423,455,487,,,456,6925,6974,7001,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,273,305,329,,,308,6707,6725,6742,,
mainnet,ALCHEMY_URL,transfer-test,0,402,405,421,,,405,7039,7074,7092,,
testnet,QUICKNODE_URL,transfer-test,0,239,255,263,,,255,6533,6567,6575,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,225,253,265,,,256,6534,6559,6569,,
mainnet,QUICKNODE_URL,transfer-test,0,362,402,412,,,403,6772,6775,6783,,
