network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,725,765,795,,,,,,,,,765,7246,7296,7326,,,,
testnet,default,transfer-erc20-test,,,0,654,662,698,,,,,,,,,664,7119,7159,7191,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,447,459,517,,,,,,,460,5686,,,5718,5751,,,461,9882
testnet,default,transfer-cadence-test,,,1,471,495,555,,,,,,,495,6792,,,6824,9582,,,497,9919
mainnet,default,transfer-test,,,0,780,816,822,,,,,,,,,817,7059,7095,7101,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,476,497,544,,,,,,,498,6956,,,6976,7050,,,500,12153
testnet,ALCHEMY_URL,transfer-test,,,0,741,765,804,,,,,,,,,766,7201,7243,7267,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,691,713,744,,,,,,,,,716,7139,7147,7188,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,322,356,389,,,,,,,,,357,6825,6840,6883,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,347,360,366,,,,,,,,,361,6603,6639,6644,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,281,305,316,,,,,,,,,308,6550,6584,6593,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,541,560,566,,,,,,,,,561,6804,6841,6846,,,,
mainnet,default,headless-kittypunch-swap-1,0,20782,,,,,20794,29050,,,29058,47466,,,,,,,47500,53843,,
mainnet,default,headless-kittypunch-swap-2,0,2014,,,,,,,2055,8233,8236,26702,,,,,,,26708,33106,,
