network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,929,957,1019,,,,,,,958,7813,7845,7906,,,,
testnet,default,transfer-erc20-test,,,0,902,903,971,,,,,,,906,7705,7738,7801,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,594,627,817,,,,,627,8228,,,8260,8325,,,628,11486
testnet,default,transfer-cadence-test,,,0,422,453,544,,,,,454,5877,,,5921,8363,,,455,9071
mainnet,default,transfer-test,,,0,918,954,1025,,,,,,,955,4441,4471,4542,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,741,748,865,,,,,749,7158,,,7173,7293,,,750,13204
testnet,ALCHEMY_URL,transfer-test,,,0,774,806,920,,,,,,,807,7833,7857,7976,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,684,708,819,,,,,,,710,7765,7773,7884,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,799,806,936,,,,,,,807,4578,4587,4718,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,794,808,875,,,,,,,809,7652,7657,7721,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,682,705,773,,,,,,,707,7567,7610,7678,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,812,858,929,,,,,,,858,7560,7607,7678,,,,
mainnet,default,headless-kittypunch-swap-1,0,20973,,,,,21002,29548,29596,48110,,,,,,,48138,61507,,
