network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,968,1005,1117,,,,,,,1006,7909,7957,8066,,,,
testnet,default,transfer-erc20-test,,,0,887,908,973,,,,,,,911,4450,4494,4556,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,539,572,688,,,,,573,8127,,,8167,8231,,,574,10261
testnet,default,transfer-cadence-test,,,0,579,610,735,,,,,611,7337,,,7351,8597,,,613,9516
mainnet,default,transfer-test,,,0,1038,1056,1127,,,,,,,1056,4491,4541,4613,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,765,768,927,,,,,769,6824,,,6856,7020,,,770,7963
testnet,ALCHEMY_URL,transfer-test,,,0,933,953,1073,,,,,,,954,4691,4736,4840,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,890,909,1014,,,,,,,913,7936,7968,8069,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1905,1912,2007,,,,,,,1913,9160,9170,9256,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,746,756,828,,,,,,,757,7634,7655,7726,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,806,808,885,,,,,,,811,7683,7708,7783,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1126,1158,1230,,,,,,,1159,7860,7862,7933,,,,
mainnet,default,headless-kittypunch-swap-1,0,20828,,,,,20871,29574,29608,47757,,,,,,,47775,54610,,
