network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,477,503,565,,,,,,,503,7090,7092,7150,,,,
testnet,default,transfer-erc20-test,,,0,558,602,641,,,,,,,605,7090,7098,7136,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,306,343,382,,,,,343,7647,,,7689,7726,,,345,9750
testnet,default,transfer-cadence-test,,,0,358,368,440,,,,,369,6689,,,6706,9124,,,370,9857
mainnet,default,transfer-test,,,0,546,554,564,,,,,,,554,6834,6863,6872,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,343,356,406,,,,,357,7342,,,7381,7448,,,357,8359
testnet,ALCHEMY_URL,transfer-test,,,0,508,552,583,,,,,,,553,7033,7077,7101,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,343,353,384,,,,,,,356,6805,6833,6860,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,730,752,782,,,,,,,753,7204,7205,7230,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,266,303,312,,,,,,,304,6589,6612,6622,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,392,403,416,,,,,,,406,6680,6712,6722,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,666,703,713,,,,,,,704,6983,7002,7011,,,,
mainnet,default,headless-kittypunch-swap-1,0,20636,,,,,20646,28920,28935,47475,,,,,,,47478,53802,,
