network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,1,410,457,466,,,458,6733,6769,6777,,
testnet,default,transfer-erc20-test,0,200,201,214,,,204,6477,6515,6525,,
testnet,default,transfer-cadence-soft-finality-test,0,349,384,427,384,5567,,,5611,5654,385,9744
testnet,default,transfer-cadence-test,0,255,262,282,263,5457,,,5500,8578,265,8588
mainnet,default,transfer-test,0,243,251,260,,,252,6537,6571,6581,,
mainnet,default,transfer-cadence-soft-finality-test,1,989,1039,1796,1039,5701,,,5728,5778,1041,9868
testnet,ALCHEMY_URL,transfer-test,0,328,352,381,,,353,7045,7096,7125,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,289,306,328,,,309,6702,6706,6725,,
mainnet,ALCHEMY_URL,transfer-test,0,375,403,434,,,404,6755,6806,6823,,
testnet,QUICKNODE_URL,transfer-test,0,233,252,262,,,253,6527,6561,6569,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,179,202,216,,,205,6481,6516,6526,,
mainnet,QUICKNODE_URL,transfer-test,0,406,453,463,,,454,6747,6760,6768,,
