network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,869,908,971,,,,,,,909,7706,7718,7779,,,,
testnet,default,transfer-erc20-test,,,0,853,854,919,,,,,,,857,7675,7707,7770,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,482,520,632,,,,,521,7050,,,7063,7132,,,522,9187
testnet,default,transfer-cadence-test,,,0,390,425,566,,,,,426,6862,,,6907,9505,,,428,10153
mainnet,default,transfer-test,,,0,1005,1002,1075,,,,,,,1003,7706,7723,7794,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,804,814,1009,,,,,814,6104,,,6148,6262,,,816,10788
testnet,ALCHEMY_URL,transfer-test,,,0,673,706,809,,,,,,,707,7763,7802,7897,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1000,1004,1106,,,,,,,1007,8014,8038,8170,,,,
mainnet,ALCHEMY_URL,transfer-test,,,1,829,858,961,,,,,,,859,7814,7845,7942,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,787,805,876,,,,,,,805,7716,7745,7817,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,805,808,880,,,,,,,811,4403,4438,4507,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,854,858,930,,,,,,,859,4288,4293,4366,,,,
mainnet,default,headless-kittypunch-swap-1,0,20836,,,,,20859,29426,29468,47740,,,,,,,47782,54725,,
